what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525788768845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788769126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788797128
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525788822103
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1525788823757
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1525788823788
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525788825223
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1525788845956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525788855082
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525788882585
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525788933690
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525788935531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788935812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788940554
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1525788950866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1525788953331
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525788963502
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525788964235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788964516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788969102
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1525788989975
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525788991301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788991582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525788994156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525788995560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525789000115
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525789000677
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789000958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789008227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789010099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789011534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789048881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789050113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1525789052251
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525789053233
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525789053514
