what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792538138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792538466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792540572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792543364
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792543629
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1525792589041
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525792590164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792590461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792597543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792610257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792615421
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525792615436
error,log,,,"{R,T}xThread terminated",1525792618057
error,log,,,"{R,T}xThread terminated",1525792618057
error,log,,,"No Byte Stream Services found for Nios II Console View",1525792621671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792644529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792646151
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792650129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792671829
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525792674496
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1525792697304
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792698068
error,log,,,"Target is not suspended",1525792703201
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525792838593
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1525792986700
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792988837
